24895,1,0,0,0,24894
24851,2,0,0,0,24849
24850,2,0,0,0,24848
24860,2,0,0,0,24858
24857,3,0,0,0,24854
24849,4,0,0,0,24845
24830,4,0,0,0,24826
24836,4,2,0,0,24832
24844,4,2,0,0,24840
24851,3,2,0,1,24847
24828,3,2,0,1,24824
24830,2,1,0,2,24826
24820,2,1,0,2,24816
24825,3,1,0,2,24820
24835,2,0,0,4,24829
24827,2,0,0,4,24821
24839,2,0,0,4,24833
24843,2,1,0,4,24837
24833,2,1,0,4,24827
24826,2,1,0,4,24820
24821,2,1,0,4,24815
24803,4,2,0,4,24795
24795,3,1,0,5,24787
24801,3,1,0,5,24793
24794,3,1,0,5,24786
24799,3,1,0,5,24791
24795,2,1,0,6,24787
24807,2,1,0,6,24799
24782,0,0,0,8,24774
24793,0,0,0,8,24785
24791,0,0,0,8,24783
24802,0,0,0,308,24494
24788,0,0,0,603,24185
24791,0,0,0,894,23897
24785,0,0,0,1185,23600
24788,0,0,0,1471,23317
24788,0,0,0,1765,23023
24793,0,0,0,2049,22744
24763,0,0,0,2329,22434
24766,0,0,0,2601,22165
24761,0,0,0,2863,21898
24750,0,0,0,3127,21623
24749,0,0,0,3387,21362
24761,0,0,0,3644,21117
24768,0,0,0,3893,20875
24763,0,0,0,4146,20617
24762,0,0,0,4397,20365
24769,0,0,0,4643,20126
24767,0,0,0,4888,19879
24784,0,0,0,5119,19665
24802,0,0,0,5359,19443
24795,0,0,0,5580,19215
24807,0,0,0,5798,19009
24825,0,0,0,6041,18784
24815,1,0,0,6267,18547
24822,1,0,0,6493,18328
24816,2,0,0,6713,18101
24797,2,0,0,6928,17867
24800,2,0,0,7142,17656
24783,3,1,0,7340,17440
24780,5,1,0,7556,17219
24747,5,1,0,7763,16979
24762,5,1,0,7951,16806
24759,4,1,0,8174,16581
24745,4,1,0,8370,16371
24736,5,1,0,8575,16156
24738,3,1,0,8771,15964
24730,3,1,0,8954,15773
24720,3,1,0,9135,15582
24731,3,1,0,9328,15400
24742,2,1,0,9532,15208
24743,2,1,0,9708,15033
24741,4,1,0,9876,14861
24737,3,1,0,10045,14689
24731,3,1,0,10230,14498
24730,3,1,0,10409,14318
24738,3,2,0,10598,14137
24747,3,2,0,10774,13970
24752,4,2,0,10933,13815
24756,4,2,0,11103,13649
24749,4,2,0,11275,13470
24758,4,2,0,11427,13327
24779,3,2,0,11613,13163
24776,4,2,0,11765,13007
24775,4,2,0,11910,12861
24789,3,2,0,12071,12715
24796,3,2,0,12227,12566
24789,3,2,0,12405,12381
24784,4,2,0,12551,12229
24772,4,1,1,12674,12094
24753,4,1,1,12803,11946
24746,4,1,1,12961,11781
24745,4,2,1,13110,11631
24744,4,1,2,13251,11489
24739,4,1,2,13393,11342
24735,4,1,2,13537,11194
24741,3,0,2,13686,11052
24725,3,0,2,13831,10891
24720,2,0,2,13969,10749
24736,2,0,2,14126,10608
24732,2,0,2,14251,10479
24744,2,0,2,14389,10353
24749,2,0,2,14506,10241
24724,2,0,2,14636,10086
24729,2,0,2,14769,9958
24727,2,0,2,14873,9852
24716,2,0,2,14983,9731
24715,2,0,2,15096,9617
24713,2,0,2,15202,9509
24710,2,0,2,15314,9394
24713,2,0,2,15431,9280
24726,2,0,2,15545,9179
24735,2,0,2,15658,9075
24742,2,0,2,15783,8957
24752,2,0,2,15893,8857
24758,2,0,2,16008,8748
24777,2,0,2,16125,8650
24773,2,0,2,16211,8560
24771,2,0,2,16310,8459
24775,2,0,2,16425,8348
24781,2,0,2,16550,8229
24774,2,0,2,16645,8127
24774,2,0,2,16731,8041
24770,2,0,2,16811,7957
24776,2,0,2,16915,7859
24786,2,0,2,17022,7762
24776,2,0,2,17101,7673
24777,2,0,2,17201,7574
24770,2,0,2,17279,7489
24793,2,0,2,17384,7407
24803,2,0,2,17464,7337
24808,2,0,2,17566,7240
24808,2,0,2,17655,7151
24813,2,0,2,17735,7076
24823,2,0,2,17831,6990
24792,2,0,2,17888,6902
24805,2,0,2,17978,6825
24799,2,0,2,18046,6751
24799,3,0,2,18123,6673
24802,3,0,2,18196,6603
24805,3,0,2,18275,6527
24826,3,1,2,18353,6470
24819,3,1,2,18425,6391
24821,3,1,2,18502,6316
24840,3,1,2,18602,6235
24820,3,1,2,18656,6161
24827,3,1,2,18737,6087
24817,3,1,2,18815,5999
24805,3,1,2,18890,5912
24799,3,1,2,18954,5842
24782,3,1,2,19006,5773
24795,2,0,2,19095,5698
24793,2,0,2,19151,5640
24800,2,0,2,19225,5573
24803,2,0,2,19286,5515
24792,2,0,2,19366,5424
24794,2,0,2,19427,5365
24792,2,0,2,19469,5321
24788,2,0,2,19513,5273
24801,2,0,2,19595,5204
24793,2,0,2,19658,5133
24786,2,0,2,19709,5075
